Cohort,Aβ1-42_GMM,pTau_GMM,tTau_GMM,Aβ1-42_K-Means,pTau_K-Means,tTau_K-Means,Aβ1-42_Tertile,pTau_Tertile,tTau_Tertile,Aβ1-42_ROC,pTau_ROC,tTau_ROC,Aβ1-42_Mean ±2 SD,pTau_Mean ±2 SD,tTau_Mean ±2 SD
ADNI,983.7,34.3,352.3,973,28.1,286.2,832.1,21.5,240.5,801.7,24.2,264.8,280.8,40.9,409.7
EPAD,1034.9,27.7,306.7,1030.7,19.8,223.7,883,19.9,228.3,731.5,20.9,213.8,337.9,43.3,436.4
AIBL,714.4,92.6,591.5,689.9,77.7,635.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARWIBO,577.5,126.2,499,512.8,69.2,406.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EDSD,737.5,113.2,535.7,790.8,82.8,577.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PharmaCog,779.6,93.1,630.6,773.6,66.2,465.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PREVENT-AD,1030.9,68,424.8,1150.4,50.3,301.6,1104.4,53.1,304.2,NaN,NaN,NaN,588.4,89.6,598.1
NACC_ELISA,596.2,80.8,537.4,591.4,61.1,497.4,629,48,376.6,474,64,468,291.5,88,728.8
EMIF_ELISA,730.9,81.4,523.8,723.7,65,435.1,538.2,52.1,269.4,560,59,355.4,173.1,95.1,669.4
NACC_XMAP,298.6,58.4,94,270.3,40.2,70,244.8,36.3,53.8,226.4,41.2,56.7,21.8,69.3,99.7
EMIF_XMAP,400.4,51.7,204.2,356.4,37.6,129.9,450.2,30.8,83.2,352.2,28.7,100.1,239.5,55.2,123.4
DOD-ADNI,1276,26.5,306.1,1231.9,22.5,250.2,927,19.8,229,NaN,NaN,NaN,282.4,34.3,369.9
JADNI,416.4,61.3,133.8,414.3,62,145.8,392,38.9,72.2,333.9,44.9,86.2,186.9,66.2,128.2